,ID,State,Name,County,Lat,Lon,Combust,Fuel,FuelCat,Capacity,HeatInput,NetGen,NOX,SO2,CO2,CoalGen,OilGen,GasGen,NuclearGen,HydroGen,BiomassGen,WindGen,SolarGen,GeoGen,OtherFossilGen,OtherGen,NonRenewGen,RenewGen,CombGen,NonCombGen,CoalPortion,CapFac,SO2OutRate,CO2OutRate,NOXOutRate,NOXInRate,CO2InRate,SO2InRate
13,14,AK,Blue Lake,Sitka,57.0516,-135.2297,0.0,WAT,HYDRO,7.0,0.0,58422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58422.0,0.0,58422.0,0.0,0.9527397260273973,0.0,0.0,0.0,,,
14,15,AK,Bradley Lake,Kenai Peninsula,59.7554,-150.8511,0.0,WAT,HYDRO,126.0,0.0,348271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348271.0,0.0,348271.0,0.0,0.3155314561136479,0.0,0.0,0.0,,,
15,16,AK,Chester Lake,Ketchikan,55.1139,-131.5481,0.0,WAT,HYDRO,1.0,0.0,3130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.0,0.0,3130.0,0.0,0.3573059360730594,0.0,0.0,0.0,,,
16,17,AK,Cooper Lake,Kenai Peninsula,60.4908,-149.8158,0.0,WAT,HYDRO,19.4,0.0,45390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45390.0,0.0,45390.0,0.0,0.2670879819234571,0.0,0.0,0.0,,,
17,18,AK,Delta Power,Fairbanks,64.0283,-145.7181,1.0,DFO,OIL,23.1,3246.0,13.0,0.5,0.14,265.6,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,6.424321492814644e-05,0.01076923076923077,20.430769230769233,0.038461538461538464,0.00015403573629081948,0.0818237831176833,4.3130006161429455e-05
18,19,AK,Dillingham,Dillingham,59.6708,-157.89,1.0,DFO,OIL,6.9,179721.0,19143.0,219.08,7.34,14703.3,0.0,19143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19143.0,0.0,19143.0,0.0,0.0,0.31670637284097675,0.0003834299744031761,0.7680771039022096,0.011444392206028314,0.0012190005619821835,0.08181180830286944,4.0841081454031526e-05
19,20,AK,Dutch Harbor,Aleutians West,53.9761,-166.5361,1.0,DFO,OIL,21.6,262161.0,28270.0,319.57,10.78,21447.9,0.0,28270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28270.0,0.0,28270.0,0.0,0.0,0.14940596989683746,0.0003813229571984436,0.7586805801202688,0.011304209409267775,0.0012189837542578798,0.0818119399910742,4.111976991238208e-05
20,21,AK,Eielson AFB Central Heat & Power Plant,Fairbanks,64.6711,-147.0719,1.0,SUB,COAL,33.5,396826.5,69647.0,159.46,104.14,42667.9,68398.0,1249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69647.0,0.0,69647.0,0.0,0.9820667078266113,0.23733047093300622,0.001495254641262366,0.6126308383706406,0.0022895458526569702,0.0004018380828901296,0.10752280908659075,0.0002624320704388442
21,22,AK,Eklutna Hydro Project,Matanuska-Susitna,61.605,-149.1192,0.0,WAT,HYDRO,44.4,0.0,74203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74203.0,0.0,74203.0,0.0,0.19078067793821218,0.0,0.0,0.0,,,
22,23,AK,Elim,Nome,64.6206,-162.2772,1.0,JF,OIL,1.6,10913.0,1137.0,13.3,0.0,872.1,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,0.0,1137.0,0.0,0.0,0.08112157534246575,0.0,0.767018469656992,0.011697449428320142,0.0012187299550994227,0.07991386419866214,0.0
23,24,AK,Emmonak,Bethel,62.8719,-164.4864,1.0,JF,OIL,2.2,26511.5,3119.0,32.32,0.0,2118.6,0.0,3119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3119.0,0.0,3119.0,0.0,0.0,0.16184101286841013,0.0,0.6792561718499519,0.010362295607566527,0.0012190936008901797,0.07991249080587669,0.0
24,25,AK,Fairbanks,Fairbanks,64.8547,-147.7164,1.0,RFO,OIL,42.2,238273.0,10318.0,37.87,0.2,19786.2,0.0,10318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10318.0,0.0,10318.0,0.0,0.0,0.027911229414183385,1.9383601473153714e-05,1.91763907734057,0.003670284938941655,0.00015893533887599516,0.08304004230441553,8.393733238763939e-07
